OF22,OF26,OF27,F17,F20,F21,F23,F24,F28,F29,F31,F33,F34,F36,F38,F43,F44,F45,F49,F63,F65,PR
3,4,1437,1,2,3,1,5,1,1,5,0,0,0,0,4,0,0,1,0,3.65,10
3,4,1954,1,2,4,2,1,2,2,4,0,0,0,0,2,1,3,1,0,6.33,5.327
2,4,1486,1,3,4,3,2,2,2,5,0,0,0,0,1,2,5,1,0,6.16,4.841
1,3,1767,4,1,1,2,5,2,1,1,0,5,0,0,1,2,4,2,0,6.225714286,4.605
2,4,1950,2,2,2,2,5,2,2,3,0,0,0,0,1,1,1,1,0,6.291428571,6.196
2,4,2065,2,2,4,2,5,2,2,1,0,0,0,0,1,1,1,1,0,6.357142857,6.279
2,4,2146,2,2,2,3,4,2,2,2,0,0,0,0,1,2,1,2,0,6.422857143,4.974
2,4,2065,4,2,1,2,4,1,3,1,0,0,0,0,1,2,4,3,0,6.488571429,5.058
1,6,2169,1,1,3,1,6,0,0,0,0,0,0,0,4,0,0,1,0,6.554285714,10
2,4,1538,1,2,5,1,6,0,0,0,0,0,0,0,1,2,4,2,0,6.62,3.194
