OF16,OF18,OF22,OF25,OF26,OF27,F1,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F6,F17,F18,F20,F21,F22,F23,F24,F28,F31,F33,F34,F36,F43,F44,F45,F48,F49,F54,F65,S5,NR
1,0.378,4,3,6,2175,1,1,0,2,0,3,0,2,3,1,2,1,3,1,1,6,0,0,0,0,0,5,0,0,3,1,1,4.47,0,10
5,0.76,3,3,4,1973,1,0,0,1,0,2,4,2,4,1,1,1,3,3,1,4,1,5,1,0,0,5,0,0,3,1,1,3.7,0,10
4,0.36,3,3,4,2166,1,1,0,2,2,3,3,3,1,1,1,1,3,1,1,6,0,0,0,0,0,4,0,0,3,1,1,4.03,0,10
2,0.47,4,3,4,2079,1,1,0,1,0,2,2,3,4,1,1,1,3,2,1,5,1,5,0,0,0,5,0,0,3,1,1,4.238571429,0,10
2,0.634,1,3,6,2032,3,3,0,4,0,0,2,0,3,1,1,3,3,1,1,6,0,0,0,0,0,5,0,0,3,2,6,4.447142857,0,10
2,0.2115,1,2,1,1888,2,1,0,3,0,2,4,1,1,1,1,3,3,1,1,6,0,0,0,0,0,4,0,0,3,2,6,4.655714286,0,10
1,0.127,3,3,6,2232,2,1,0,4,0,0,3,0,1,1,1,3,3,1,3,4,1,5,0,0,0,2,2,5,3,2,6,4.864285714,0,4.497
1,0.106,3,3,6,2232,2,0,0,3,2,0,3,1,1,1,1,3,3,1,4,2,2,4,0,0,0,2,2,5,3,2,6,5.072857143,0,5.226
2,0.49,2,3,6,2217,1,2,0,2,0,3,4,0,3,1,1,1,3,1,1,6,0,0,0,0,0,4,0,0,3,1,1,5.281428571,0,10
1,0.36,2,2,6,2228,2,5,1,0,0,0,0,2,3,1,1,1,3,1,1,6,0,0,0,0,0,2,2,5,3,1,1,5.49,0,5.108
2,0.3,1,2,4,2026,3,2,2,1,3,0,3,1,4,4,1,1,2,2,2,5,1,4,0,0,0,2,2,4,3,1,1,5.745,0,4.512
3,0.01,1,2,4,1987,3,0,3,0,3,0,1,2,3,3,1,3,1,4,2,5,3,2,0,0,0,1,2,4,3,2,1,6,0,4.682
1,0.16,2,2,6,1968,3,4,0,2,0,0,3,1,1,2,1,3,3,2,3,4,1,1,0,0,0,2,2,5,3,2,1,6.255,0,4.85
5,0.56,2,2,4,1479,3,5,2,2,2,1,1,0,4,2,2,3,3,2,2,5,1,4,0,0,0,2,2,5,2,1,1,6.51,0,5.382
4,0.6,3,3,4,2195,3,4,1,2,2,1,2,0,4,1,1,1,3,2,1,5,1,5,0,0,0,5,0,0,3,1,1,5.49,0,10
4,0.6,3,3,4,2195,1,1,0,2,0,2,2,2,3,1,1,1,3,0,1,6,0,0,0,0,0,5,0,0,3,1,1,4.47,0,10
5,0.39,3,3,4,2009,1,0,0,3,0,1,4,0,1,3,1,1,3,2,2,5,1,5,0,0,0,4,0,0,3,1,1,3.45,0,10
2,0.31,3,3,4,2241,1,1,0,2,0,3,4,1,3,1,1,1,3,2,1,6,0,0,0,0,0,5,0,0,3,1,1,4.885,0,10
