Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,SR,SR_Function,SR_Benefit,SR Benefit Rating,PR,PR_Function,PR_Benefit,PR Benefit Rating,NR,NR_Function,NR_Benefit,NR Benefit Rating,WS,WS_Function,WS_Benefit,WS Benefit Score
1,4,3,1,1,0,2,0,0,4,0,5.3,100.7,95.4,8,3.72,1,5.16,1,4.33,1,6.81,2,3.13,1,5.06,1,2.36,0,3.85,1
2,5,0,3,3,0,0,0,0,0,0,5.3,93.3,88.0,1,7.12,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,9.21,2,10.0,2
2,2,0,0,0,0,0,0,0,0,0,5.0,450.0,450.0,0,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,5.953557312252964,1,0.0,0
2,2,0,1,1,0,0,0,0,0,0,5.0,450.0,450.0,0,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,5.31,1,0.0,0
2,2,0,0,1,0,0,0,0,2,0,5.0,450.0,450.0,0,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,6.74407114624506,2,0.0,0
0,0,0,1,1,2,2,0,0,0,0,5.0,85.7,80.7,1,0.89,0,0.0,0,6.32,2,0.0,0,-0.05,0,10.0,2,3.05,1,4.02,1
1,4,3,4,0,0,1,0,0,4,0,5.0,76.0,71.0,8,1.95,0,4.61,1,5.65,2,6.52,2,1.65,0,10.0,2,1.42,0,0.0,0
2,5,0,0,0,0,0,0,0,0,0,5.0,51.7,46.7,0,6.398559423769507,1,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,8.221343873517789,2,0.0,0
3,8,0,3,1,1,2,0,1,0,0,5.0,29.0,24.0,1,0.48,0,0.0,0,4.24,1,0.0,0,-0.68,0,10.0,2,-0.25,0,0.0,0
0,0,0,0,1,0,0,0,0,2,0,4.7,450.0,450.0,1,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,6.55,2,0.0,0
2,7,0,1,3,0,0,0,0,0,0,4.7,254.7,250.0,0,7.48,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0
2,2,0,3,0,3,0,0,0,0,0,4.7,165.0,160.3,1,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,6.74407114624506,2,0.0,0
0,0,3,1,1,0,2,0,0,3,0,4.7,139.0,134.3,1,1.13,0,4.27,1,6.59,2,6.04,2,0.1,0,4.62,1,0.74,0,0.0,0
1,1,3,0,1,0,1,0,2,1,0,4.7,14.0,9.3,4,3.62,1,10.0,2,3.72,2,10.0,2,3.29,1,10.0,2,1.41,0,0.0,0
