OF16,OF18,OF22,OF25,OF26,OF27,F1,F3_1,F3_2,F3_3,F3_4,F3_5,F3_6,F3_7,F6,F17,F18,F20,F21,F22,F23,F24,F28,F31,F33,F34,F36,F41,F42,F48,F49,F54,S5,NR,NR_Function,F44
4,0.34,1,0,3,2011,3,0,0,0,0,0,0,6,3,3,1,0,4,2,2,1,1,4,0,0,0,0,0,2,0,4,0.0,2.484253220548712,1,1
1,0.3008,2,1,3,1936,3,1,0,0,2,0,2,5,3,1,1,2,3,2,2,3,1,3,4,3,0,1,1,2,0,0,0.0,2.52,1,0
0,0.07,2,1,3,2188,2,1,2,0,5,0,2,2,2,2,0,2,0,3,1,1,1,4,4,4,2,1,0,2,0,0,0.0,2.68,1,2
1,0.51,1,2,3,1657,2,0,0,0,4,0,2,3,2,3,0,0,2,1,2,3,1,0,0,0,0,1,1,2,0,0,0.0,0.86,0,1
3,0.26,0,3,3,2003,2,1,1,0,5,0,1,0,3,1,2,1,0,3,1,1,1,4,0,0,0,1,0,2,0,0,0.0,3.782522561593126,1,3
4,0.01,1,3,3,2194,2,1,1,1,4,1,1,1,2,2,1,2,2,3,2,1,1,3,0,0,0,1,0,2,0,0,0.0,3.340599306244696,1,4
1,0.08,1,2,2,1757,2,0,0,0,4,0,2,3,2,3,0,2,1,1,1,4,0,0,0,0,0,1,1,2,0,0,0.0,0.75,0,2
0,0.0202,2,0,3,1883,2,2,2,0,3,0,2,0,1,2,1,2,1,3,1,2,2,0,0,0,0,0,0,2,1,0,0.0,2.21,0,3
4,0.86,2,2,3,1911,2,4,2,2,2,1,1,1,2,1,1,2,1,2,0,3,0,4,0,0,0,0,0,2,0,0,0.0,10.0,2,0
4,0.1,2,3,3,2217,2,3,2,2,3,1,1,1,2,1,1,2,2,3,1,1,0,4,0,0,0,0,0,2,0,0,0.0,10.0,2,0
2,0.3181,1,1,3,1853,1,1,1,0,3,0,4,2,1,0,0,2,2,1,3,1,0,1,2,4,0,0,0,2,0,0,0.0,3.11,1,1
4,0.4,1,1,3,1916,3,1,0,1,0,1,1,5,3,1,1,1,0,2,3,1,1,4,2,1,0,0,0,2,0,1,0.0,10.0,2,0
2,0.1345,0,2,3,2009,3,1,1,1,2,0,2,3,3,1,1,1,1,2,2,1,1,4,4,2,2,1,0,2,0,0,0.0,2.845198868984051,1,1
4,0.1,1,3,3,2194,3,0,0,0,1,0,1,6,3,1,0,0,1,3,1,0,1,4,4,2,1,1,0,2,0,4,0.0,2.689160989557429,1,2
4,0.01,0,3,3,2224,3,0,0,0,0,0,1,6,3,0,0,0,2,3,1,1,1,1,2,2,1,0,0,2,0,0,0.0,2.785708504582421,1,0
0,0.82,3,1,5,2183,0,1,0,2,0,3,2,2,1,0,0,0,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0.0,10.0,2,0
1,0.17204,1,0,5,1801,1,2,0,2,0,1,3,2,3,0,0,2,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0.0,10.0,2,0
0,0.29,1,3,5,1735,1,0,0,0,2,0,4,3,2,0,0,1,1,1,1,5,0,0,0,0,0,0,0,2,0,0,0.0,3.35,1,0
4,0.47,2,2,3,1890,1,1,0,1,0,1,4,3,3,0,0,0,3,3,1,1,1,4,3,1,1,0,0,2,0,0,0.0,3.108100455389207,1,4
1,0.83,2,3,3,2043,1,2,1,2,2,2,3,2,0,0,0,1,3,2,2,1,1,2,0,0,0,0,0,2,0,0,0.0,2.883196014612875,1,4
2,0.111,0,2,3,1864,1,1,0,0,0,0,2,5,2,0,0,0,3,2,1,2,1,4,0,0,0,0,0,2,0,1,0.0,10.0,2,0
