OF22,OF26,OF27,F17,F20,F21,F23,F24,F28,F29,F33,F34,F36,F38,F41,F42,F44,F49,F63,F65,PR,PR_Function
0,3,2109,3,2,1,3,1,1,1,0,0,0,0,1,0,1,1,0.007692307692307693,5.578095744680851,3.61,1
0,3,1947,3,2,1,2,2,2,1,0,0,0,0,1,0,0,1,0.0,5.578095744680851,3.35,1
1,5,2228,0,0,2,0,5,0,0,0,0,0,0,0,0,1,0,0.007692307692307693,5.49,8.83,2
1,5,2038,0,1,1,0,4,0,0,0,0,0,0,0,0,1,0,0.007692307692307693,5.43,5.84,2
2,3,2122,1,1,1,1,4,2,1,0,0,0,0,1,0,1,0,0.007692307692307693,6.67,4.73,1
0,2,1767,3,0,0,1,4,1,0,0,4,0,0,1,0,1,1,0.007692307692307693,5.578095744680851,3.19,1
0,3,2026,3,0,1,1,4,0,0,0,0,0,0,0,0,1,0,0.007692307692307693,5.578095744680851,4.82,1
1,5,2029,0,2,2,1,3,0,0,0,0,0,0,0,0,0,1,0.007692307692307693,5.578095744680851,10.0,2
0,5,2169,0,2,2,3,0,2,1,2,3,1,0,0,0,1,1,0.0,5.578095744680851,3.95,1
0,3,1987,2,2,0,1,4,2,1,0,0,0,0,0,0,1,1,0.007692307692307693,5.578095744680851,3.76,1
1,5,2080,3,2,4,0,5,0,0,0,0,0,0,0,0,0,0,0.007692307692307693,5.578095744680851,10.0,2
1,5,1968,1,2,2,2,3,0,1,0,0,0,0,0,0,1,1,0.007692307692307693,5.578095744680851,6.19,2
0,4,1846,1,2,2,2,3,0,2,4,3,2,0,1,0,1,1,0.007692307692307693,5.578095744680851,6.59,2
1,4,1670,0,2,2,3,1,1,0,3,2,0,0,1,0,0,1,0.0,5.578095744680851,3.97,1
1,3,1329,2,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0.0,6.57,10.0,2
1,3,1329,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0.0,5.578095744680851,10.0,2
